==> Args
    - save_data : ../data/iwslt14
    - work_dir : PATH_TO_ACTOR_FOLDER/20210408-131727
    - nemb : 256
    - nhid : 256
    - natthid : 256
    - nlayer : 1
    - drope : 0.0
    - droph : 0.3
    - att_mode : dotprod
    - input_feed : False
    - seed : 1234
    - cuda : True
    - epochs : 30
    - train_bs : 2
    - valid_bs : 2
    - test_bs : 2
    - param_init : 0.1
    - optim : sgd
    - lr : 0.6
    - grad_clip : 5.0
    - start_decay : 0
    - lr_decay : 0.5
    - num_decay : 6
    - log_interval : 200
    - debug : False
    - test_only : False
    - beamsize : 5
    - ppl_anneal : False
==> Vocabulary
    - vocab size: src=32038, tgt=22811
    - special symbols [src]: <pad>=0, <unk>=1
    - special symbols [tgt]: <pad>=0, <unk>=1, <bos>=2, <eos>=3
==> Initalize actor
    - number of params: 20956443
=========================================================================================
| epoch   0 | 21000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.48 | ppl    88.32 
| epoch   0 | 21200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.51 | ppl    90.59 
| epoch   0 | 21400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.52 | ppl    92.16 
| epoch   0 | 21600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.43 | ppl    84.20 
| epoch   0 | 21800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.35 | ppl    77.84 
| epoch   0 | 22000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.53 | ppl    92.32 
| epoch   0 | 22200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.32 
| epoch   0 | 22400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.41 | ppl    82.67 
| epoch   0 | 22600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.42 | ppl    83.06 
| epoch   0 | 22800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.50 | ppl    89.97 
| epoch   0 | 23000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.40 | ppl    81.18 
| epoch   0 | 23200/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.53 | ppl    92.46 
| epoch   0 | 23400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.46 | ppl    86.27 
| epoch   0 | 23600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.42 | ppl    83.11 
| epoch   0 | 23800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.22 
| epoch   0 | 24000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.30 
| epoch   0 | 24200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.49 | ppl    89.06 
| epoch   0 | 24400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.50 | ppl    90.12 
| epoch   0 | 24600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.42 | ppl    83.03 
| epoch   0 | 24800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.37 | ppl    78.97 
| epoch   0 | 25000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.40 | ppl    81.79 
| epoch   0 | 25200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.42 | ppl    83.15 
| epoch   0 | 25400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.40 | ppl    81.40 
| epoch   0 | 25600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.39 | ppl    81.00 
| epoch   0 | 25800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.99 
| epoch   0 | 26000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.42 | ppl    82.95 
| epoch   0 | 26200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.50 | ppl    90.32 
| epoch   0 | 26400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.57 
| epoch   0 | 26600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.39 | ppl    80.28 
| epoch   0 | 26800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.34 | ppl    77.03 
| epoch   0 | 27000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.40 | ppl    81.67 
| epoch   0 | 27200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.32 | ppl    75.44 
| epoch   0 | 27400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.50 | ppl    89.67 
| epoch   0 | 27600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.43 | ppl    84.05 
| epoch   0 | 27800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.40 | ppl    81.37 
| epoch   0 | 28000/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.36 | ppl    78.04 
| epoch   0 | 28200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.43 | ppl    83.53 
| epoch   0 | 28400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.37 | ppl    79.27 
| epoch   0 | 28600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.35 | ppl    77.60 
| epoch   0 | 28800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.63 
| epoch   0 | 29000/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.38 | ppl    80.23 
| epoch   0 | 29200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.39 | ppl    80.82 
| epoch   0 | 29400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.39 | ppl    80.73 
| epoch   0 | 29600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.47 | ppl    87.61 
| epoch   0 | 29800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.41 | ppl    81.95 
| epoch   0 | 30000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.41 | ppl    82.23 
| epoch   0 | 30200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.43 | ppl    84.27 
| epoch   0 | 30400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.44 | ppl    85.14 
| epoch   0 | 30600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.34 | ppl    76.47 
| epoch   0 | 30800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.43 | ppl    83.87 
| epoch   0 | 31000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.30 | ppl    74.02 
| epoch   0 | 31200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.36 | ppl    77.96 
| epoch   0 | 31400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.41 | ppl    82.51 
| epoch   0 | 31600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.36 | ppl    78.01 
| epoch   0 | 31800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.38 | ppl    79.67 
| epoch   0 | 32000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.38 | ppl    79.81 
| epoch   0 | 32200/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.38 | ppl    80.05 
| epoch   0 | 32400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.36 | ppl    78.50 
| epoch   0 | 32600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.31 | ppl    74.27 
| epoch   0 | 32800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.35 | ppl    77.62 
| epoch   0 | 33000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.37 | ppl    78.66 
| epoch   0 | 33200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.45 | ppl    85.20 
| epoch   0 | 33400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.30 | ppl    73.88 
| epoch   0 | 33600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.35 | ppl    77.66 
| epoch   0 | 33800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.39 | ppl    80.56 
| epoch   0 | 34000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.32 | ppl    75.51 
| epoch   0 | 34200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.30 | ppl    74.02 
| epoch   0 | 34400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.32 | ppl    75.40 
| epoch   0 | 34600/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.38 | ppl    80.14 
| epoch   0 | 34800/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.40 | ppl    81.29 
| epoch   0 | 35000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.35 | ppl    77.58 
| epoch   0 | 35200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.31 | ppl    74.75 
| epoch   0 | 35400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.36 | ppl    78.42 
| epoch   0 | 35600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.39 | ppl    80.28 
| epoch   0 | 35800/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.36 | ppl    78.43 
| epoch   0 | 36000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.34 | ppl    76.93 
| epoch   0 | 36200/76674 batches | lr 0.600000 | ms/batch   7.4 | loss  4.34 | ppl    76.62 
| epoch   0 | 36400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.34 | ppl    76.57 
| epoch   0 | 36600/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.38 | ppl    79.83 
| epoch   0 | 36800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.40 | ppl    81.08 
| epoch   0 | 37000/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.29 | ppl    72.69 
| epoch   0 | 37200/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.33 | ppl    76.11 
| epoch   0 | 37400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.33 | ppl    76.16 
| epoch   0 | 37600/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.35 | ppl    77.13 
| epoch   0 | 37800/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.36 | ppl    78.55 
| epoch   0 | 38000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.30 | ppl    73.51 
| epoch   0 | 38200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.29 | ppl    72.82 
| epoch   0 | 38400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.29 | ppl    72.88 
| epoch   0 | 38600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.26 | ppl    70.91 
| epoch   0 | 38800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.30 | ppl    73.46 
| epoch   0 | 39000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.23 | ppl    68.62 
| epoch   0 | 39200/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.32 | ppl    74.96 
| epoch   0 | 39400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.33 | ppl    76.00 
| epoch   0 | 39600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.34 | ppl    76.78 
| epoch   0 | 39800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.33 | ppl    76.31 
| epoch   0 | 40000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.29 | ppl    72.83 
